run_id,time_s,input_tokens,output_tokens,cached_read_tokens,total_tokens,cost_usd_reported,code_quality,understanding,has_arch,has_strat,has_plan,plan_variant,context_level,engine_name,cost_usd_estimated,cost_usd
0000,428.0,292.0,20300.0,1400000.0,20590.0,0.9,6.2,6.0,False,False,False,0,0,noarch_nostrat_noplan,0.725376,0.9
0010,726.0,204.0,27100.0,,27300.0,1.08,6.9,6.0,False,False,True,0,0,noarch_nostrat_yesplan,0.40711200000000003,1.08
1000,391.0,200.0,21100.0,,21300.0,1.19,7.0,6.8,True,False,False,0,1,yesarch_nostrat_noplan,0.3171,1.19
1010,571.0,22.0,31800.0,,31800.0,0.99,5.7,6.2,True,False,True,0,1,yesarch-nostrat-yesplan,0.47706600000000005,0.99
0100,457.0,,18200.0,,18200.0,,7.4,6.0,False,True,False,0,1,noarch_yesstrat_noplan,0.273,0.273
0110,420.0,18500.0,3500.0,250000.0,22000.0,0.19,7.5,6.0,False,True,True,0,1,,0.183,0.19
1100,958.0,,38100.0,,38100.0,,6.5,6.0,True,True,False,0,2,yesarch_yessttrat_noplan,0.5715,0.5715
1110,479.0,3400.0,18200.0,,21600.0,,7.2,7.0,True,True,True,0,2,arch1-strat1-plan1,0.2832,0.2832
1111,751.0,5000.0,36700.0,,41700.0,1.02,7.2,5.0,True,True,True,1,2,yesarch_yesstrat_yesplan_p1,0.5655,1.02
1112,423.0,20.0,24100.0,,24200.0,0.72,7.6,4.3,True,True,True,2,2,caveman,0.36156,0.72
