run_id,time_s,input_tokens,output_tokens,cached_read_tokens,total_tokens,cost_usd_reported,code_quality,understanding,has_arch,has_strat,has_plan,plan_variant,context_level,engine_name,cost_usd_estimated,cost_usd,elo_d3_zerostart,elo_d3_random,elo_d4_random,wins,draws,losses,score_d4,tier0_pass_rate,tier1_pass_rate,tier2_pass_rate,tier1_passed,tier2_passed
0000,428.0,292.0,20300.0,1400000.0,20590.0,0.9,6.2,6.0,False,False,False,0,0,noarch_nostrat_noplan,0.725376,0.9,,-168.4,-17.4,9.0,1.0,10.0,0.475,1.0,0.7857142857142857,0.5714285714285714,11.0,4.0
0010,726.0,204.0,27100.0,,27300.0,1.08,6.9,6.0,False,False,True,0,0,noarch_nostrat_yesplan,0.40711200000000003,1.08,-0.0,17.4,52.5,11.0,1.0,8.0,0.575,1.0,0.9285714285714286,0.42857142857142855,13.0,3.0
1000,391.0,200.0,21100.0,,21300.0,1.19,7.0,6.8,True,False,False,0,1,yesarch_nostrat_noplan,0.3171,1.19,-0.0,-34.9,70.4,11.0,2.0,7.0,0.6,1.0,0.8571428571428571,0.42857142857142855,12.0,3.0
1010,571.0,22.0,31800.0,,31800.0,0.99,5.7,6.2,True,False,True,0,1,yesarch-nostrat-yesplan,0.47706600000000005,0.99,-190.8,-214.8,-214.8,4.0,1.0,15.0,0.225,1.0,0.9285714285714286,0.5714285714285714,13.0,4.0
0100,457.0,,18200.0,,18200.0,,7.4,6.0,False,True,False,0,1,noarch_yesstrat_noplan,0.273,0.273,190.8,88.7,17.4,10.0,1.0,9.0,0.525,1.0,0.8571428571428571,0.7142857142857143,12.0,5.0
0110,420.0,18500.0,3500.0,250000.0,22000.0,0.19,7.5,6.0,False,True,True,0,1,,0.183,0.19,,,,,,,,,,,,
1100,958.0,,38100.0,,38100.0,,6.5,6.0,True,True,False,0,2,yesarch_yessttrat_noplan,0.5715,0.5715,-0.0,34.9,-88.7,7.0,1.0,12.0,0.375,1.0,1.0,0.42857142857142855,14.0,3.0
1110,479.0,3400.0,18200.0,,21600.0,,7.2,7.0,True,True,True,0,2,arch1-strat1-plan1,0.2832,0.2832,190.8,214.8,381.7,18.0,0.0,2.0,0.9,1.0,0.9285714285714286,0.7142857142857143,13.0,5.0
1111,751.0,5000.0,36700.0,,41700.0,1.02,7.2,5.0,True,True,True,1,2,yesarch_yesstrat_yesplan_p1,0.5655,1.02,,-107.5,-34.9,8.0,2.0,10.0,0.45,1.0,0.9285714285714286,0.7142857142857143,13.0,5.0
1112,423.0,20.0,24100.0,,24200.0,0.72,7.6,4.3,True,True,True,2,2,caveman,0.36156,0.72,,-147.2,34.9,11.0,0.0,9.0,0.55,1.0,0.8571428571428571,0.5714285714285714,12.0,4.0
